Company,items,industry,description
신세계건설,"토목,건축,건축관련기술서비스,빌딩관리용역,골프장,내장공사,시설개보수,설계용역",건물 건설업,"기업개요
동사는 1991년 3월 20일에 회사가 설립되었으며, 당사의 주식은 1999년 6월 23일 코스닥시장, 2002년 6월 17일 유가증권시장에 상장함.
동사의 건설부문은 백화점/할인점/아울렛몰 등 대형판매시설의 건설, 오피스/오피스텔/주거시설의 신축을 주된 사업의 영업기반으로 삼고 있음.
월별로는 5월, 6월, 10월 이용객수가 가장 많은 성수기이며, 야외 스포츠의 특성상 1월과 2월은 추위와 눈으로 인하여 비수기임.
출처 : 에프앤가이드"
아이에스동서,"타일,위생도기,콘크리트파일,P.C관,침목 제조,도매","시멘트, 석회, 플라스터 및 그 제품 제조업","기업개요
동사 및 종속회사는 콘크리트사업부문, 건설사업부문, 환경사업부문, 해운사업부문, 기타사업부문으로 구성되어 있음.
주요 사업인 콘크리트사업부문은 PHC PILE, Ext PILE 외 건축자재를 생산/판매하며, 건설사업부문은 건축, 토목공사를 바탕으로 아파트 및 상가를 공급함.
또한 환경사업부문은 폐자원, 골재판매, 폐기물 처리용역 및 환경설비건설 등의 사업을 영위함.
출처 : 에프앤가이드"
우진,원전용계측기,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","기업개요
동사는 1980년 설립, 2010년 7월에 상장한 산업용 및 원자력발전소용 계측기 제조전문 기업임.
동사는 계측기 이외에 철강산업용 자동화장치, 설비진단시스템, 유량계 및 유량시스템 등을 주요 사업으로 하고 있으며 2020년 12월에 온도센서 사업을 인수하였음.
경기 흐름에 둔감한 시장 제품의 오랜 Life Cycle과 산업의 고도화에 따른 시장 규모의 확대가 산업의 특징임.
출처 : 에프앤가이드"
인터지스,"화물운송,알선,하역",도로 화물 운송업,"기업개요
동사는 1956년 2월 23일 항만하역업, 화물운송업 등을 주 목적으로 하여 설립됨. 2011년 12월 16일 한국거래소 유가증권시장에 주식을 상장함.
컨테이너 및 벌크화물 등을 하역하는 항만하역사업과 철강제품 및 수출입 컨테이너를 운송하는 육상운송사업, 그리고 동국제강의 철강 원재료 및 국내외 3PL 고객들을 대상으로 하는 해상운송사업과 포워딩사업을 영위함.
그 외 터미널 운영과 주유소 등의 부수사업을 수행하고 있음.
출처 : 에프앤가이드"
일성건설,"건축공사,토목공사,전기공사",토목 건설업,"기업개요
동사는 1978년 설립되어 토목공사와 건축공사, 녹지조성사업 등의 조경공사, 아파트 분양사업 등으로 성장해 온 종합건설회사임.
T/K, SOC(BTL) 등 발주 공사의 입찰에 참여하고 있으며 신탁, 재정비 및 재개발사 FED 및 해외 토목 등 시장 개척을 통한 수주 확대, 공공택지를 통한 분양사업 활성화에 주력하고 있음.
'트루엘'이라는 아파트브랜드로 자체(분양)사업도 추진하고 있음.
출처 : 에프앤가이드"
진에어,"여객, 화물 등 항공운송",항공 여객 운송업,"기업개요
항공항공운송산업에 속한 회사이며, 현재 항공기를 이용한 운송 서비스를 주요 상품으로 하여 소비자에게 판매 중.
2023년 3월말 기준 동사는 리스계약을 통하여 BOEING 737-800 19대, BOEING 737-900 2대, BOEING 737-8 1대, BOEING 777-200 4대, 총 26대를 보유
동사는 예약, 발권 등의 기능을 통해 생산과 판매가 일어나는 무형의 서비스를 제공하고 있기 때문에 재고가 잔존하지 않음.
출처 : 에프앤가이드"
코오롱글로벌,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",토목 건설업,"기업개요
동사는 1960년 협화실업으로 설립되어, 2011년 코오롱아이넷주식회사와 코오롱비앤에스주식회사를 흡수합병하여 코오롱글로벌주식회사로 상호변경.
건설사업부문은 ""코오롱하늘채"", ""린든그로브""와 같은 주택 브랜드를 앞세운 주택 및 건축 분야와, 도로/교량 등을 시공하는 토목분야 및 SOC사업을 영위.
해외 상하수도 시설을 시공하는 환경 사업, 풍력발전을 포함한 신재생에너지 사업 등으로 이루어진 종합 건설업을 영위.
출처 : 에프앤가이드"
포스코인터내셔널,"무역(철강,화학,자동차부품),수출주선,대행,알선,가공원단,폴리우레탄,자동차시트 제조",상품 중개업,"기업개요
2000년 12월 대우의 무역부문의 인적분할을 통해 설립되었으며, 2010년 8월 포스코가 한국자산관리공사 등으로부터 지분 68.2%를 취득하여 최대주주가 됨.
2020년 철강 가공사업을 물적 분할함. 2023년 1월 LNG사업 밸류체인 완성을 위해 포스코에너지를 흡수합병함.
무역업을 중심으로 자원개발, 인프라 개발·운용 등의 사업을 영위하고 있으며, 철강, 곡물, 화학, 이차전지소재, 친환경차부품, 천연가스 등이 주요 품목임.
출처 : 에프앤가이드"
한솔로지스틱스,"지류펄프 보관창고 운영/화물취급,화물운송알선,물류컨설팅/종합쇼핑몰운영,통신판매,인터넷백화점",기타 운송관련 서비스업,"기업개요
동사는 1996년 10월 한솔그룹으로 대주주지분이 양도됨에 따라 1996년 12월 한솔 유통으로부터 물류사업을 양수받아 물류서비스 전문회사로 사업에 새롭게 진출하였음.
1997년 2월에는 영우통상의 사명을 한솔CSN으로, 2014년 5월에는 한솔로지스틱스 주식회사로 변경하였음.
동사는 컨테이너운송사업/트럭운송사업/해상 및 항공 포워딩사업/W&D/물류시스템 및 산업별 물류서비스를 고객에게 제공하고 있음.
출처 : 에프앤가이드"
한일홀딩스,지주사업,"시멘트, 석회, 플라스터 및 그 제품 제조업","기업개요
시멘트 제조 및 판매업 등을 목적으로 1961년에 설립되었으며, 1969년 상장함.
판매한 건자재의 최종 고객은 건설사이며, 동사가 건설사와 직접 거래를 하기도 하지만, 동사와 건설사의 중간 유통단계에서 사업을 영위하는 레미콘사나 건자재 대리점을 주 거래처로 두고 있음.
기타 사업부문에서 서비스 부문 및 IT 장비 유통의 경우 일반 기업체 및 기관이 주 거래처이며, 테마파크의 경우 개인 및 단체 관광객이 고객임.
출처 : 에프앤가이드"
한화,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",기타 화학제품 제조업,"기업개요
한화그룹의 지주회사 역할을 하고 있으며 한화생명, 한화에어로스페이스, 한화케미칼 등 계열사 지분 보유, 자체사업은 화약/방산/기계/무역 부문이 있음.
화약부문은 발파기술사업, 발파해체사업, 불꽃프로모션사업 등으로 사업영역을 확대, 방산부문은 정밀유도무기를 포함한 정밀타격 전 분야로 사업영역을 확대.
기계부문은 주요 산업별 핵심설비 개발 및 프로젝트 수행능력을 확보, 무역부문은 자체 영업권과 전문성을 보유한 사업의 확대.
출처 : 에프앤가이드"
현대건설,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",토목 건설업,"기업개요
1950년 토목과 건축공사를 주요 사업목적으로 설립되었으며, 2022년 시공능력평가 2위의 종합건설회사임.
주요사업 부문은 터널, 교량, 도로공사, 택지조성, 철구조물 제작 및 설치 등의 토목 부문과 공공건축물 및 초고층빌딩, 아파트 등을 건설하는 건축/주택 부문,
석유화학/담수/신산업 플랜트, 송변전 전기공사, 원자력/태양광/풍력발전 등을 담당하는 플랜트 부문, 부동산개발, 축산업, 휴양콘도운영 등의 기타 부문으로 나뉨.
출처 : 에프앤가이드"
현대로템,"철도차량, 특수중기, 산업기계",철도장비 제조업,"기업개요
동사는 1999년 설립되어 레일솔루션 사업, 디펜스솔루션 사업, 에코플랜트 사업을 영위하고 있음.
레일솔루션사업본부는 국내를 넘어 세계시장에 전동차, 고속전철, 경전철 등 각종 철도차량을 공급하고 있음.
디펜스솔루션사업본부는 지상무기체계의 연구개발 및 생산을 담당하고 있으며, 에코플랜트사업본부는 높은 기술력을 바탕으로 국내외 다수의 철강 및 자동차 생산인프라 등의 공사를 수행하고 있음.
출처 : 에프앤가이드"
KD,건설사업(완성건물),건물 건설업,"기업개요
동사는 건설부문(오피스텔, 아파트 등 건축 및 분양)과 전자부문(전자통신부품 검사용역)사업을 영위하고 있음.
주택부문은 경기변동과 금융상황에 민감하게 반응하는 산업분야로, 경기회복과 금융산업의 안정화 등의 여부에 따라 영향을 받음.
동사는 직접 건축하여 분양하거나, 동 건축물에 대한 수주로 건축을 하고 있으며, '아람채', 'KDU프라자' 와 같은 고유 브랜드를 보유하고 있음.
출처 : 에프앤가이드"
KT서브마린,해저케이블등의 건설 및 유지보수 업무,전기 및 통신 공사업,"기업개요
동사는 1995년 설립되어 해저통신케이블과 해저전력케이블의 시공 및 유지보수 사업을 영위하고 있음. 동사의 매출품목은 건설공사, 유지보수, 기타부문으로 구분됨.
해저전력케이블 건설사업은 한국전력공사(KEPCO), 국내외 신재생에너지 개발사 또는 대형 건설사(EPC 사업자)가 주로 발주하고 있음.
국내 해저통신케이블 건설시장에서는 동사가 독점적으로 수행하고 있음.
출처 : 에프앤가이드"
그린플러스,"첨단유리온실, 온실용자재설치공사, 알루미늄 압출/가공제품",1차 비철금속 제조업,"기업개요
동사는 1997년 10월, 알루미늄 제품과 온실용 자재 제조 및 판매를 주 목적으로 설립되었음.
알루미늄 압출 생산라인을 기반으로 첨단온실의 기획부터 설계 자재 제작과 시공까지 첨단온실사업의 전 영역을 대응할 수 있는 역량을 보유하고 있으며, 이를 바탕으로 한국형 스마트팜 보급을 선도하는 기업을 목표로 함.
종속회사로 장어양식사업을 영위하는 그린피시팜과 스마트팜 딸기 재배 사업을 영위하는 그린케이팜 등이 있음.
출처 : 에프앤가이드"
넥스턴바이오,CNC자동선반,특수 목적용 기계 제조업,"기업개요
동사는 2000년 설립된 CNC자동선반 제조 및 판매 기업임. 동사의 사업부문은 CNC자동선반 단일부문으로 구성됨.
매출유형은 제품, 상품, 기타 등으로 구분됨. 제품매출은 자동차, 선박엔진, 통신 부품 및 의료용기기 등에서 발생함.
CNC자동선반 국내시장은 한화기계의 독점형태로 진행되었지만 동사의 진입으로 현재 과점상태에 있으며, 동사는 37% 내외의 시장을 점유하고 있는 것으로 추정함.
출처 : 에프앤가이드"
동방선기,"조선기자재, 선박용 배관",선박 및 보트 건조업,"기업개요
동사는 1994년 설립되어 배관 제작, 생산, 판매업를 주력 사업으로 영위하고 있으며, 부산에 3곳의 제조시설을 두고 있음.
동사의 사업부문은 PIPE SPOOL사업부문, 도장사업부문으로 이루어져 있으며, 타 산업향 배관 사업을 향후 더욱 확대하고자 합.
PIPE SPOOL사업부문에서는 탄소강관, 스테인리스강관 등 제조 및 판매를, 도장사업부문에서는 PIPE, 철의장품 도장을 영위하고 있음.
출처 : 에프앤가이드"
동양파일,PHC파일,"시멘트, 석회, 플라스터 및 그 제품 제조업","기업개요
동사는 2013년 6월 12일에 콘크리트파일의 제조, 판매등을 주 목적으로 설립되었음.
동사의 매출은 PHC파일 시장의 특성상 내수 위주로 구성되어 있으며, 판매활동은 거래처에서 직접 주문을 받아 직접 판매 방법으로 이루어지고 있음.
콘크리트 파일 산업은 초기 투자비가 많이 드는 장치산업으로 진입장벽이 높고 시장이 내수중심으로 형성되어 있으며, 경기 변동에 영향을 많이 받음.
출처 : 에프앤가이드"
드림시큐리티,정보보안솔루션,소프트웨어 개발 및 공급업,"기업개요
동사는 자체 보유한 기술력 및 전문인력을 통해 행정, 공공기관, 금융기관, 일반업체 등 다양한 기관에 PKI/인증, 유선보안, 무선보안, 전자문서 보안 분야 등의 솔루션 공급 및 SI 사업을 영위함.
동사의 제품과 서비스는 대부분 정보보안산업의 정보보안제품 중 시스템 보안, 정보유출방지 및 암호인증분야에 집중되어 있음.
대체인증 수단의 필요성이 대두되며 FIDO 기반의 생체인증 기술을 개발하여 FIDO 글로벌 공인인증을 획득함.
출처 : 에프앤가이드"
삼영엠텍,"구조용 특수장치, 교량부품","구조용 금속제품, 탱크 및 증기발생기 제조업","기업개요
동사는 1997년 삼영소재산업으로 설립되었으며, 연결회사는 플랜트 기자재, 구조물 구조재, 선박엔진 구조재 및 풍력 기자재 등을 생산하고 있음.
2022년 우리나라는 2018년 이후 최대 수주 점유율을 기록하였으며, 이에 따라 선박엔진 기자재도 수요가 증가할 것으로 예상됨.
세계경제 불확실성이 커지면서 세계철강시장은 약화된 모습을 보이나, 북미 및 중동지역의 신규 에너지 프로젝트 진행으로 인프라 수요는 소폭 증가할 것으로 예상됨.
출처 : 에프앤가이드"
삼표시멘트,"시스템통합(SI), 네트워크장비",기타 비금속 광물제품 제조업,"기업개요
지배회사인 동사 및 종속회사는 시멘트 사업을 영위하고 있으며 시멘트, 크링커, 석회석 등을 제조 및 판매하고 있음
레미콘사업 진출을 위하여 삼표레미콘을 설립하였으며, 2021년 9월 30일자로 삼표산업과 에스피네이처의 레미콘 사업부분을 인수 완료함.
삼표자원개발(주)는 풍부한 매장량을 기반으로 한 시멘트의 주 원료인 양질의 석회석 생산량 전량을 (주)삼표시멘트에 안정적으로 공급중임.
출처 : 에프앤가이드"
셀루메드,"의료기기, 바이오시밀러 및 헬스케어사업",기초 의약물질 및 생물학적 제제 제조업,"기업개요
동사의 사업부문은 의료기기, 바이오로직스, 코스메슈티컬로 분류됨. 의료기기사업은 탈회골(DBM), 합성 고분자 무릎연골(BMG) 등을 연구·개발하는 조직공학과 인공무릎관절, 동종이식재 취급 분야로 나뉨.
바이오로직스 부문의 주요 제품으로는 골형성 단백질 rhBMP2와 히알루론산 기반의 활액대체재 Viscoseal Syringe가 있음.
단풍나무 수액으로 만든 기능성 화장품을 중국 내 2000여개의 화장품 전문 유통채널에 납품함.
출처 : 에프앤가이드"
에스에프에이,"디스플레이, 2차전지, 반도체 제조설비 및 공장자동화기기",특수 목적용 기계 제조업,"기업개요
동사는 1998년 삼성테크윈의 자동화사업부가 분사하면서 설립되었으며, 스마트팩토리솔루션사업과 반도체패키징사업을 영위하고 있음.
스마트팩토리솔루션사업부문에서는 국내외 이차전지산업, 반도체산업, 유통 및 기타제조산업 및 디스플레이산업 분야에서 스마트화된 제반 공정장비 및 생산시스템을 공급하고 있음.
반도체패키징사업부문에서는 반도체 제조 관련 후공정부문에서 칩의 전기적 연결 및 물리적 기능과 형상을완성하는 외주가공용역을 공급하고 있음.
출처 : 에프앤가이드"
에스엠코어,"자동화물류서비스, 자동화공정설비",일반 목적용 기계 제조업,"기업개요
동사와 연결대상 종속회사는 자동화물류시스템에 필요한 자동화 설비를 제작설치하고, 동 설비 가동에 필요한 제어시스템 및 운영정보시스템을 제작설치하는 사업을 영위.
타이어/석유화학/반도체/제약/식음료/자동차/화장품 등 산업 군에 창고자동화, 공정자동화, WMS, 3D MFC 등 운영방안을 제시.
2017년 고객사에 Tray Stocker 납품 실적을 시작으로 AGV, OHCV 등 반도체 후 공정 사업 포트폴리오를 성공적으로 확보.
출처 : 에프앤가이드"
에쎈테크,LPG밸브,일반 목적용 기계 제조업,"기업개요
1985년 설립되어 2000년 상장하였으며 황동단조품, 가공품, 황동볼밸브, 냉동볼밸브, 황동분배기 등 황동소재 부품 제조사업을 영위하고 있음.
동사는 동 및 동합금을 제조하는 금속가공업으로서 각종밸브 및 정밀부품을 생산하고 있음.
동사의 주력 제품인 가스용기 밸브는 수요와 생산제조업체의 공급이 적정하여 제품 가격에서도 안정성을 보이고 있으며, X-L 및 복합관은 수요에 비해 공급이 부족한 상황임.
출처 : 에프앤가이드"
웰크론,"기능성 침구용품, 크리너, 필터, 방탄·방검복",직물직조 및 직물제품 제조업,"기업개요
주식회사 웰크론과 종속회사인 주식회사 웰크론한텍 외 5개 회사로 구성되어 있음.
동사는 1992년 5월 설립되어 극세사로 제조된 침구 및 고기능성 생활용품류의 제조 및 판매를 주된 사업으로 영위하고 있으며, 2003년 7월에 코스닥에 상장함.
리빙, 극세사 클리너를 비롯한 나노섬유, 슈퍼섬유, 친환경 섬유 등 섬유산업 전반에 걸쳐 사업을 영위하고 있으며, 주요 종속회사는 건설 및 플랜트 사업을 영위함.
출처 : 에프앤가이드"
윈하이텍,데크 플레이트(건설용거푸집),"구조용 금속제품, 탱크 및 증기발생기 제조업","기업개요
동사는 2011년 9월 15일에 강구조물(데크플레이트) 제작 설치 및 판매업 등을 목적으로 윈스틸로부터 분할 설립되었음.
데크플레이트 시장은 8개 정도의 업체가 경쟁하고 있으며 동사는 시장 점유율 기준 3위권을 형성하고 있음.
주력 제품인 엑스트라 데크(EXTRA DECK)가 업계 최초로 일본건축센터로부터 건축물 공법, 자재, 설비 등 건축계획과 연계해 성능평가를 통과하여 까다로운 일본건축시장에 진출할 수 있는 평정서를 취득함.
출처 : 에프앤가이드"
유신,토목설계 및 감리,"건축기술, 엔지니어링 및 관련 기술 서비스업","기업개요
토목엔지니어링 업계 최초로 2002년 코스닥 시장에 상장하였으며 도로/공항, 철도/구조, 도시계획, 감리, 기타설계 사업을 영위하는 건설업체임.
동사는 교통시설분야와 함께 생활환경과 직결된 제반분야 등 엔지니어링 전분야에서 시공을 제외한 타당성조사, 설계업무 및 감리 업무 등 건설사업의 모든 분야를 대상으로 하고 있음.
필리핀, 베트남, 캄보디아, 네팔, 케냐, 알제리 등에서 해외사업을 수행하며 신시장 진출을 추진중임.
출처 : 에프앤가이드"
이엔코퍼레이션,온라인정보제공,기타 정보 서비스업,"기업개요
2021년 2월 5일 주식회사 제이에스아이컴퍼니 외 2인으로 최대주주가 변경되면서 기업이미지 제고 및 사업다각화를 위해 상호를 이엔코퍼레이션으로 변경함.
초순수 및 폐수, 공업용수, 오폐수 등 수처리설비를 설계, 조달, 시공하는 EPC(설계, 조달, 시공) 전문기업인 한성크린텍을 인수함.
종속회사인 이엔워터솔루션은 폐기물 종합재활용, 폐기물 중간처분, 폐수수탁, 수탁운반 등 다양한 환경인허가를 보유하고 있음.
출처 : 에프앤가이드"
자연과환경,"스테인레스파이프, 다공성식생블록,조경원예자재","시멘트, 석회, 플라스터 및 그 제품 제조업","기업개요
동사는 환경생태복원사업, 토양정화사업, PC저류조사업, 기타 건축공사업 등을 영위하고 있음.
주요 제품인 지오그린 다공성 식생블록은 토목적 안정성을 확보하면서 시멘트의 독성을 없애고 식물의 생육과 토양 미생물이 생육할 수 있도록 하여 생태계를 보존과 치수의 안전성을 동시에 만족시킴.
주요 매출처는 국가기관인 국토관리청, 서울시청 등 지방자치단체와 주택, 토지, 도로공사 등 공공기관임.
출처 : 에프앤가이드"
지엔씨에너지,"비상발전기, 소형열병합발전설비, 바이오가스발전설비","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","기업개요
동사는 1989년에 설립되어 2013년 코스닥시장에 상장하였으며 사업부문은 비상 및 상용 발전사업, 열병합발전사업, 바이오가스발전사업, 환경설비 설계및 시공, 연료전지 등으로 구성됨.
동사의 주력 사업부문은 디젤엔진 비상발전사업에 해당하며 다양한 수요처를 확보하여 안정적인 수익을 창출하고 있음.
종속기업을 통하여 신재생 에너지인 지열 냉난방시스템 사업과 연료전지 사업, 냉난방 공조시스템 사업을 영위함.
출처 : 에프앤가이드"
