Company,items,industry,중분류,description
알체라,"얼굴인식 AI, 이상상황 감지 AI 등",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 인공지능 영상인식 분야에서 토탈 솔루션 기술을 제공하고 있음.
안면인식 기반의 결제 시스템 구축, 모바일 뱅킹, 신분증 확인 등에 적용되며, 출입국 및 공공기관의 출입 등 보안과 관제 영역까지 관리할 수 있는 On Premise와 SaaS 모델을 제공함.
또한 원격 의료 및 임상시험 등에 사용되는 Digital Healthcare 솔루션도 공급하고 있음.
출처 : 에프앤가이드"
코나아이,"전자화폐, 단말기, 수집/정산시스템",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 국제규격 결제플랫폼을 기반으로 지역화폐와 코나카드 결제서비스를 제공하고 있음.
현재 동사는 1,400만명의 고객과 연간 15조원 이상의 결제를 처리중으로 배달, 택시등 지역사회에 필요한 모든 서비스를 제공 중임.
국내 결제 플랫폼 성공을 바탕으로 Open API 기반 해외 결제 서비스를 준비 중이며, 신사업으로 블록체인 플랫폼, 메타버스 플랫폼, TSM 기반 정보 판매 서비스 및 MVNO 등을 추진중임.
출처 : 에프앤가이드"
한국정보인증,"공인인증서, PKI솔루션 등",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 국내 최초의 인증기관으로서 인증서의 발급, PKI 솔루션 개발 및 판매, SSL(웹보안서버) 판매, 바이오인증서비스 등을 영위하고 있음.
OTP(One Time Password: 일회용 비밀번호)제품을 주사업으로 영위 하고 있는 ㈜미래테크놀로지와 '21.09.15일부로 합병을 완료함.
가상자산 서비스 사업, 지문인증 서비스 사업 등의 분야로 확장을 추진 중임.
출처 : 에프앤가이드"
가비아,"도메인,호스팅",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1999년 설립되어 기업을 대상으로 클라우드, 그룹웨어, 보안, 도메인, 호스팅 등을 제공하는 IT 서비스업을 영위하고 있음.
종속회사를 통해 쇼핑몰 서비스 및 홈페이지 제작, SI 및 멀티미디어 솔루션, 보안상품 및 서비스, 그리드 CDN 및 MS의 SPLA, CSP 라이선스를 제공하고 있음.
기업용 그룹웨어 솔루션 '하이웍스' 는 2019년에 그룹웨어 및 메일서비스 분야에서 시장 점유율 1위를 기록하였음.
출처 : 에프앤가이드"
이스트소프트,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1993년 설립된 소프트웨어 개발회사로, 최근 인공지능(AI)사업(AI 휴먼 사업)을 전개하고 있음.
동사와 주요 종속회사의 사업영역은 유틸리티(알툴즈 등), 보안(알약), 포털(줌닷컴), 게임(카발) 등이 있음.
이외 커머스(아이웨어 가상피팅앱 라운즈), 금융(엑스포넨셜자산운용) 사업을 영위함. 신사업으로 유료 포인트 사업, NFT 사업, 교육사업 등을 추진하고 있음.
출처 : 에프앤가이드"
쿠콘,"페이먼트서비스(65.2%), 데이터서비스(29.1%) 등",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 API 상품을 개발하여 비즈니스 데이터를 제공하는 것을 주력사업으로 하고 있음.
주요 사업은 제공되는 정보의 유형에 따라 데이터 서비스(개인정보 API, 기업정보 API, 글로벌 API)와 페이먼트 서비스(간편결제 API, 전자금융 API)로 나뉨.
주요 거래처로는 은행, 보험사, 증권사, 카드사 등의 금융기관과 카카오페이, 네이버 등의 빅테크/핀테크 기업 등이 있음.
출처 : 에프앤가이드"
딥노이드,"의료 인공지능플랫폼, 인공지능 임상의사결정 시스템",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 의료 진단ㆍ판독 보조 및 질병 조기진단을 위한 솔루션을 개발하는 의료 인공지능 사업을 영위하고 있음.
식약처 인허가를 받은 총 15 개의 DEEP:AI(의료 인공지능 솔루션) 제품을 보유하고 있으며, 이는 각종 의료 데이터를 인공지능으로 분석하여 질환 분류, 병변 영역 검출, 예후 예측 등의 역할을 수행함.
이외에도 DEEP:PHI (인공지능 개발툴), DEEP:STORE (인공지능 마켓플레이스) 등을 자체 개발함.
출처 : 에프앤가이드"
KG모빌리언스,유무선전화결제서비스,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
온라인/오프라인 상에서 디지털 컨텐츠 및 실물을 구매할 경우에 유/무선(휴대폰) 전화를 이용하여 결제를 할 수 있도록 결제 솔루션을 제공하는 전자지불결제(PG) 업체임.
약 2만7500여개 가맹점에 결제 서비스를 제공함. 케이지에듀원과 케이지에프앤비를 연결대상 종속회사로 보유함.
동사는 24시간 운영을 위해 시스템 및 인력을 추가 배치하여 결제장애 또는 가맹점 문의사항을 즉시 해결하고 있으며, 비상대책시스템을 상시 운영하고 있음.
출처 : 에프앤가이드"
MDS테크,"임베디드개발솔루션,임베디드소프트웨어",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1998년 설립되어 임베디드 시스템 토탈 솔루션 공급 사업을 영위하고 있음.
동사의 사업부문은 임베디드 SW 개발 솔루션부문, 임베디드 시스템 SW 솔루션부문, 기타부문으로 구성되어있음.
동사는 현재 각 지역에서 현재 내수 위주로 사업을 전개하고 있음. 2008년 합병을 통한 호주법인 보유 및 2014년 홍콩법인, 2015년 인도법인, 2018년 중국법인 등을 설립하여 해외로 진출하고 있음.
출처 : 에프앤가이드"
웹케시,"에스이알피, 브랜치, 인하우스",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 기업용 금융 핀테크 플랫폼 제공을 주 사업으로 하며, 기타 기업 업무에 필요한 다양한 솔루션의 개발/제공으로 사업 영역을 확장하고 있음.
동사의 금융 핀테크 플랫폼은 금융기관과 기업내부시스템(ERP)을 연계하여, 금융과 회계가 통합된 기업자금관리시스템을 제공함.
사업모델 구조조정을 통해 저마진 'SI 비즈니스'에서 고마진 'SaaS 비즈니스'로의 수익모델 변경을 이루어냄.
출처 : 에프앤가이드"
맥스트,AR 개발 플랫폼/AR솔루션,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2010년 10월 설립되었으며, AR 원천기술 개발 사업을 영위하고있음.
2019년부터 AR 원천기술을 반도체, 자동차, 조선 등 제조 현장에 적용하여 산업용 증강현실 솔루션을 제공하고 있음.
축적된 AR 및 XR 기술을 기반으로 메타버스 플랫폼 연구개발에 주력, 2022년 11월 XR 메타버스 통합 플랫폼인 '맥스버스(MAXVERSE)' 오픈 베타 버전을 출시함.
출처 : 에프앤가이드"
마음AI,종합 인공지능 엔진 및 플랫폼,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 응용 소프트웨어 개발 및 공급업, 인공지능 기반 제품의 개발, 연구를 주요 사업으로 영위하고 있음.
23년 4월 초, 기존의 플랫폼을 한층 고도화한 maum.ai 2.0을 출시하였음.
마음 AI 2.0 플랫폼에 뷰티·법률·경제·헬스케어 등 12개 도메인(업무영역)별 특화지식이 학습되어 개개 영역에 최적화된 답변을 제공할 수 있는 마음GPT 12종을 라인업하였음.
출처 : 에프앤가이드"
알서포트,"원격지원,제어 솔루션",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2010년 7월 20일 설립되어 2013년 12월 20일 알서포트(주)와 합병하였으며, 상호를 알서포트(주)로 변경함.
동사와 종속회사는 원격지원 및 제어, 화상회의 등과 같은 원격 관련 소프트웨어 개발 및 공급 사업을 영위하고 있음.
주요 제품군으로는 원격지원 제품인 Remote Call, 원격제어 제품인 RemoteView, 화상회의 제품인 RemoteMeeting, 기타 회상회의 부스인 콜라박스 등이 있음.
출처 : 에프앤가이드"
엑셈,"DB, E2E 성능관리 SW",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 데이터베이스(DB) 튜닝을 위한 소프트웨어 설계ㆍ개발 및 판매와 컨설팅 등을 사업목적으로 하여 2001년 1월 2일에 설립됨.
DB 성능 관리, IT 전구간 성능 관리를 위한 APM, 빅데이터 통합 관리, 클라우드 통합 모니터링, 인공지능(AI) 기반 IT 운영 지능화 솔루션의 개발, 공급을 주요 사업으로 영위하고 있음.
동사의 주요종속회사인 신시웨이는 DB 보안 관련 소프트웨어 개발 및 공급 사업을 영위하고 있음.
출처 : 에프앤가이드"
라온피플,"카메라 모듈 검사기, AI 머신비전, 골프센서",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2010년 1월 설립 이후 4차 산업혁명의 핵심 기술인 인공지능을 이용한 비전 솔루션을 제공하는 전문기업임.
AI 머신비전 솔루션, AI스마트비전 솔루션, 골프센서, 카메라모듈 검사기의 개발, 제조 및 판매를 주 사업으로 영위하고 있음.
자회사 라온로드를 통해 교통제어 시스템 사업 진출을 진행중이며, 자회사 라온메디를 통해 AI와 3D 기술을 접목한 덴탈 소프트웨어 솔루션 사업을 영위하고 있음.
출처 : 에프앤가이드"
버넥트,산업용 XR 솔루션,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
컴퓨터 비전 기반의 증강현실기술을 바탕으로 확장현실 기술 트렌드를 선도하며 산업현장의 문제를 해결할 수 있는 XR 솔루션을 전문적으로 개발함.
자체 개발 트랙 프레임워크에서 기인하는 확장성, 자체 콘텐츠 파일 포맷의 독립성, 멀티 플랫폼을 지원하는 사용성, 멀티 인프라 지원에 기반하는 운영성을 가짐.
세계적인 수준의 컴퓨터 비전기술을 이용하여 현실세계와 가상세계를 실시간으로 연결하여 XR을 구현함.
출처 : 에프앤가이드"
이노시뮬레이션,"스마트 모빌리티 시뮬레이터, XR 가상훈련 시스템 등",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사의 명칭은 ㈜이노시뮬레이션으로, 영문으로는 INNOSIMULATION CO., LTD라 표기. 2000년 5월 24일에 설립됨.
스마트 모빌리티를 위한 XR 솔루션 기업으로 스마트 모빌리티 시뮬레이터, XR 가상훈련, XR 디바이스 및 XR 실감 콘텐츠를 주력 사업으로 함.
CES 2017 전시회 출품을 통해 VR 멀미를 크게 줄일 수 있는 기술을 선보임. 이후 80개 국가에 1,000여 대를 수출하며 품질과 안정성을 입증함.
출처 : 에프앤가이드"
갤럭시아머니트리,전자결제,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1994년 설립된 전자지급결제를 위한 결제 전문 대행사임. 동사의 사업부문은 전자결제사업, O2O사업, 기타 사업으로 구분됨.
전자결제사업부문에서는 휴대폰 결제, 신용카드 결제, 계좌이체 등의 서비스를 제공하고 있음. O2O사업부문에서는 모바일 상품권 및 쿠폰 발행과 판매, 편의점 기반 결제 서비스를 제공하고 있음.
기타 사업부문에서는 간편결제 플랫폼 '머니트리’, NFT 플랫폼 '메타갤럭시아’등의 서비스를 제공하고 있음.
출처 : 에프앤가이드"
라온시큐어,소프트웨어 개발 및 공급,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1998년 4월 16일 설립되었으며, 소프트웨어 개발, 판매 및 공급을 목적으로함.
금융, 공공기관 및 일반기업을 대상으로 모바일 보안솔루션(모바일백신, 가상키보드, PKI 암호인증, 모바일단말관리 EMM) 등의 사업을 영위.
블록체인 DID 및 FIDO 생체인증 기반 신원증명 플랫폼(OmniOne)과 B2C 개인이용자 대상으로 보안 인증 서비스를 제공하는 ICT 정보보안 선도기업임.
출처 : 에프앤가이드"
케이사인,,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1999년 11월 12일 설립되었으며 시스템 보안, 컨텐츠/정보유출 방지보안, 암호/인증, 보안관리 분야 사업을 영위하고 있음.
동사는 인공지능(딥러닝) 기반의 악성파일 탐지기술, 악성코드 유사도 측정 기술 등의 지속적인 개발 및 솔루션판매로 빠르게 성장을 해나가고 있음.
통합인증 분야에서 19년에 CC(Common Criteria) 인증확보를 통해 국내 정부기관을 포함하여 해외수출도 계획하고 있음.
출처 : 에프앤가이드"
오브젠,CRM 소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사의 제품은 기업이 고객에게 개인화된 경험을 제공하기 위해 필요한 모든 단계를 지원하는 국내 유일의 완성도 높은 AI마케팅 솔루션임.
지난 20여 년간 국내 선도 기업의 비즈니스 요구사항을 지속적으로 반영하여 AI마케팅 분야 전반에 걸친 독자적 기술력을 공고히 함.
AI마케팅 분야의 보다 혁신적인 제품을 제공하고, 기술력을 바탕으로 한 유관 분야 확장을 목적으로 신규 사업을 추진 중.
출처 : 에프앤가이드"
원티드랩,채용 플랫폼,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 구직자와 기업 등 플랫폼의 이용자들이 효율적으로 매칭 될 수 있도록 매칭 인공지능(AI)을 개발함.
개인 고객에게는 이직과 인적 네트워킹, 자기 계발 등 '라이프 커리어 플랫폼', 기업 고객에게는 채용/조직관리/전자결재 등의 인사관리 서비스를 제공하는 종합 HR 솔루션.
채용 매칭 사업 '원티드' 플랫폼을 통한 채용매출과 커리어(원티드플러스), 프리랜스 매칭(원티드 긱스)로 구성됨. 2022년 2월 원티드랩 파트너스 설립.
출처 : 에프앤가이드"
비즈니스온,전자세금계산서 발행서비스(스마트빌),'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2007년 12월 13일에 설립되었으며, 2017년 11월 30일자로 코스닥시장에 상장하였음.
동사는 전자세금계산서 발급 서비스를 기반으로 전자계약, 매입통합, 지능형 빅데이터 등 서비스를 주요 사업으로 영위함.
동사가 영위하는 전자세금계산서 시장은 전자세금계산서를 통한 부가가치세 신고를 기반으로 한 시장이며, 부가가치세는 GDP와 높은 상관관계가 있음.
출처 : 에프앤가이드"
투비소프트,"MiPlatform, X Platform",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2000년 설립된 기업용 소프트웨어 개발 및 공급업을 영위하는 기업임.
2023년 1분기 기준 매출액 중 넥사크로플랫폼 개발용역 매출이 26.66%, 유지보수 용역 매출이 23.19%, 넥사크로플랫폼 소프트웨어 제품매출이 20.01%의 비중을 차지하고 있음.
넥사크로플랫폼은 국내 약 7,000여 개의 레퍼런스 사이트를 확보하고 있는 UI/UX 분야 국내 시장 점유율 1위의 제품임.
출처 : 에프앤가이드"
씨유박스,"AI얼굴인식 시스템, AI얼굴인증 솔루션, AI 객체인식 솔루션, AI데이터 플랫폼",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사의 명칭은 ""주식회사 씨유박스""이며, 영문으로는 ""CUBOX Co., Ltd""로 표기함. 2010년 5월 31일에 설립됨.
동사는 AI 알고리즘 개발, AI 학습데이터 구축/가공/정제, 얼굴인식 관련 하드웨어 및 소프트웨어의 설계, 개발을 영위하고 있는 AI 전문기업임.
주요 제품으로는 AI 얼굴인식 시스템, AI 얼굴인증 솔루션, AI 객체인식 솔루션, AI 데이터 플랫폼이 있음.
출처 : 에프앤가이드"
오상자이엘,CATIA Solution,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 PLM과 SI으로 구성되는 IT부문사업과 화장품, 신소재,과수포장재, 미생물제재 등을 생산판매하는 BT부문사업을 영위하고 있음.
동사 및 동사의 연결대상종속회사는 정부로부터 인가받은 1개의 연구소와 1개의 연구 전담부서를 설립하여, 각 부문별 사업화에 필요한 제품 및 디자인 개발 연구활동을 하고 있음.
향후 농업바이오분야, 포장분야, 신소재분야, 화장품분야 등으로 사업분야 확장을 추진하고 있음.
출처 : 에프앤가이드"
한국전자인증,"개인용이메일 보안,인증업무,전자상거래관련 인증서비스/기업용 인증솔루션 제공",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1999년 3월 17일 설립되어 전자인증서(기업&개인), 글로벌SSL인증, 생체인증, IoT인증 등 보안솔루션을 주요사업으로 영위함.
국내 아웃소싱 인증 시장 인증서비스는 동사에서 유일하게 제공중이며 간편인증 기술인 FIDO인증서비스와 클라우드 전자서명서비스를 론칭함.
최근 글로벌자체 인증서비스인 CCMPKI를 개발하여 글로벌 인증평가인 웹트러스트 인증을 획득하였고, eIDAS 호환되는 클라우드 전자서명 기술 등을 개발함.
출처 : 에프앤가이드"
핑거,"스마트 금융 플랫폼, 핀테크 금융 솔루션",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
핀테크 기술과 금융업무 노하우를 중심으로 제1,2금융권을 비롯한 다양한 금융기관들에게 스마트 금융 플랫폼을 제공함.
금융시장의 업무경험과 기술력을 기반으로 비금융시장인 이커머스, 모빌리티 등 신규시장에 페이, 결제, Open API 등을 적용하여 금융업무를 산업 전반에 확장 중임.
BIG(스크래핑), 오케스트라(모바일플랫폼), F-Chain(블록체인) 등 자체 개발 솔루션을 사용하여 핀테크 영역의 전반적인 프로젝트를 수행함.
출처 : 에프앤가이드"
파수,기업용 문서보안 솔루션,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1999년 삼성SDS 사내 벤처포트로 출발, 2000년 분사하며 설립된 보안소프트웨어업체임.
동사는 데이터보안사업, 애플리케이션보안 분야 사업, 정보보호컨설팅 사업, 엔터프라이즈 문서 플랫폼 사업과 외부 협업 플랫폼, 개인정보 비식별화 사업을 영위하고 있음.
애플리케이션보안 분야는 사업경쟁력 강화 및 사업 역량 집중을 위해서 2018년 물적분할을 통해 (주)스패로우를 설립하여 사업을 진행 중에 있음.
출처 : 에프앤가이드"
브리지텍,"컨택센터솔루션,BcN솔루션,ASP서비스사업",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
1995년 3월 설립되어 2008년 6월 코스닥시장에 상장함.
AI, 음성봇, 챗봇, 음성인식, 화자인식, AICC, IPCC, 클라우드 컨택센터(CSAP인증), IP기반의 유ㆍ무선 멀티미디어 서비스 관련 소프트웨어를 개발·공급함.
자사 제품을 활용하여 인프라를 구축한 후 기업고객에게 임대하고 사용하는 기간동안 비용을 지급받는 클라우드 환경의 소프트웨어 임대서비스 사업을 영위하고 있는 소프트웨어 전문업체임.
출처 : 에프앤가이드"
나무기술,응용소프트웨어 개발 및 공급업,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 사업 초기 가상화 분야에서 글로벌 선두업체인 Citrix사와의 파트너 체결을 통해 데스크톱 가상화 시장에 본격적으로 진출하였음.
주요 성장 축의 하나인 클라우드 사업부문에서는 클라우드 네이티브 통합관리 플랫폼인 칵테일클라우드(Cocktail Cloud)를 개발 및 공급 중.
지난 2017년부터 2019년까지 국내 클라우드 서비스별 매출액은 2조 4,059억원에서 3조 3,713억원으로 40% 성장함.
출처 : 에프앤가이드"
바이브컴퍼니,"소셜 빅데이터 기반 인공지능 서비스 (소셜메트릭스), 문제 해결 솔루션 (AI Solver)",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2000년에 설립되어 2020년에 상호를 변경하고 코스닥 시장에 상장함.
인공지능을 기술을 이용해 빅데이터 분석 플랫폼, 디지털 트윈, 메타버스, 핀테크 등 다양한 사업을 영위하고 있으며, 제품별로는 썸트렌드, AI Solver, AI Assistant가 있음.
데이터 거래, 디지털트윈, 메타버스, 핀테크 시장 등 시장을 4개로 세분화해 시장 선점 및 신사업 확장 중.
출처 : 에프앤가이드"
비트나인,"그래프데이터베이스, 그래프분석서비스",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 국내 유일의 그래프 데이터베이스 전문 기술기업으로, 그래프 데이터베이스 소프트웨어를 제작, 판매하고, 이러한 소프트웨어를 기반으로 한 다양한 그래프 기술 전문서비스를 수행하는 기업임.
주요 사업모델은 그래프 데이터베이스 소프트웨어 License 판매와 그래프 데이터베이스 기술서비스 판매임.
세계 최초로 관계형 데이터베이스와 그래프 데이터베이스를 함께 묶어놓은 하이브리드 그래프 데이터베이스를 개발함.
출처 : 에프앤가이드"
한컴위드,전자상거래 보안 솔루션,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
당사는 1999년 설립되어 전자상거래의 보안 인프라를 제공하는 사업을 영위하고 있으며, 공공기관, 금융기관, 대기업 등 현재 1,050여 고객사를 확보하고 있습니다.
2018년 스마트시티 관제 플랫폼 회사인 한컴엔플럭스의 지분을 취득하고, 블록체인 솔루션 및 플랫폼을 출시하며 블록체인과 스마트 시티 중심의 플랫폼 사업으로 사업영역을 확대하고 있음.
2019년 디지털포렌식 사업을 영위하는 한컴지엠디와의 합병을 완료하였음.
출처 : 에프앤가이드"
모아데이타,인공지능 기반 ICT 시스템 이상탐지 및 예측 솔루션,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 AI 기반의 ICT 시스템 이상탐지 및 예측용 장비 개발 및 제조를 주요 사업으로 영위.
2015년 출시한 AIOps 제품인 ""페타온 포케스터""는 ICT 시스템의 장애 예측 및 선제 대응 수요 해결을 위한 제품으로 현재 초기 시장인 AIOps 시장을 선점함.
2021년 종합물류기업과 택배 근로자 신체의 이상 상태를 감지하는 웨어러블 디바이스 공급 및 근로자 과로사 방지를 위한 건강이상 예측 및 탐지 서비스 계약을 체결함.
출처 : 에프앤가이드"
지니언스,"네트워크 접근 제어 솔루션(NAC), 단말기반 지능형 위협 탐지 대응 솔루션(EDR)",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
2005년 1월 6일 설립된 동사는 네트워크 접근제어(NAC) 솔루션 개발 사업을 주요 사업으로 함.
매출형태는 정보 보안 제품의 판매와 솔루션 도입고객에 대한 유지 보수 및 기술지원 용역으로 구분. 제품으로는 기업 내부의 네트워크를 보호해 주는 NAC, EDR, PC 보안 진단 솔루션인 GPI가 있음.
EDR 사업은 2022년 누적 고객 139곳을 돌파, 국내 최다 고객을 확보함.
출처 : 에프앤가이드"
